A000001,A000002,A000005,A000009,A000010,A000019,A000035,A000040,A000041,A000069,A000120,A000123,A000124,A000161,A000203,A000217,A000290,A000292,A000326,A000330,A000578,A000583,A000593,A000594,A000688,A000720,A000793,A000796,A000959,A000961,A001034,A001055,A001057,A001065,A001097,A001113,A001157,A001221,A001222,A001227,A001285,A001358,A001462,A001481,A001511,A001615,A001969,A002033,A002113,A002322,A002378,A002487,A002620,A002654,A002808,A003136,A003484,A004011,A004018,A004526,A005100,A005101,A005117,A005408,A005811,A005843,A006530,A007318,A008275,A008277,A008279,A008292,A008683,A010060,A018252,A020639,A020652,A020653,A025487,A027642,A038566,A038567,A038568,A038569,A049310,A070939,A074206,A104725,A226898,A246655
1,2,4,12076,30,4,1,293,1121505,122,5,22258,1892,1,96,1891,3721,39711,5551,77531,226981,13845841,32,1268236032,1,18,1021020,5,331,211,1721400,2,31,34,821,6,4810,2,2,2,2,194,15,148,2,96,123,3,525,30,3782,9,930,0,86,183,2,1488,8,30,81,270,101,123,3,122,31,210,157773,63987,151200,9738114,1,1,85,2,11,3,3840,1,9,14,9,10,28,6,1,1,2,223
2,2,6,13394,36,8,0,307,1300156,124,5,23884,1954,0,104,1953,3844,41664,5735,81375,238328,14776336,104,1902838392,2,18,1141140,9,339,223,1814400,4,-31,41,823,2,4550,2,3,6,2,201,16,149,1,96,125,8,535,6,3906,5,961,0,87,189,1,768,0,31,82,272,102,125,2,124,7,120,-18150,11880,604800,2203488,0,1,86,3,13,1,4096,6,11,14,10,9,0,6,3,3,2,227
4,1,7,14848,32,74,1,311,1505499,127,6,25510,2017,0,127,2016,3969,43680,5922,85344,250047,15752961,1,2699296768,11,18,1141140,2,349,227,1876896,11,32,63,827,7,5461,1,6,1,1,202,16,153,7,96,126,32,545,16,4032,6,992,1,88,192,12,2496,0,31,83,276,103,127,1,126,2,45,1320,1155,1814400,152637,0,0,87,2,1,14,4320,1,13,14,1,11,-9,6,8,11,2,229
267,2,4,16444,48,13,0,313,1741630,128,1,27338,2081,1,84,2080,4096,45760,6112,89440,262144,16777216,84,-2790474540,1,18,2042040,3,357,229,1934868,2,-32,19,829,7,4420,2,2,4,2,203,16,157,1,84,129,3,555,12,4160,1,1024,4,90,193,1,24,4,32,85,280,105,129,2,128,13,10,-55,55,3628800,2036,1,1,88,5,2,13,4608,510,1,15,11,1,0,7,32,203,2,233
1,2,8,18200,20,7,1,317,2012558,131,2,29166,2146,2,144,2145,4225,47905,6305,93665,274625,17850625,48,-3233333376,1,18,2042040,0,361,233,2097024,5,33,78,857,2,6100,3,3,4,1,205,16,160,2,144,130,13,565,10,4290,7,1056,0,91,196,2,2016,16,32,86,282,106,131,3,130,11,1,1,1,3628800,1,-1,0,90,2,4,11,4620,1,2,15,2,11,1,7,3,3,2,239
4,1,2,20132,66,10,0,331,2323520,133,2,31196,2212,0,68,2211,4356,50116,6501,98021,287496,18974736,68,-15481826884,1,19,3063060,7,367,239,2165292,1,-33,1,859,4,4490,1,1,2,1,206,16,162,1,68,132,1,575,66,4422,6,1089,0,92,199,1,1152,0,33,87,288,107,133,4,132,67,1,-39916800,1,1,1,-1,0,91,67,7,8,5040,64722,4,15,11,2,0,7,13,19,1,241
1,1,6,22250,32,7,1,337,2679689,134,3,33226,2279,0,126,2278,4489,52394,6700,102510,300763,20151121,18,10165534848,2,19,3063060,8,385,241,2328648,4,34,58,881,0,6090,2,3,2,2,209,16,164,3,108,135,8,585,16,4556,11,1122,2,93,201,4,1632,0,33,89,294,109,135,3,134,17,11,120543840,2047,11,4083,0,1,92,2,8,7,5184,1,7,15,3,11,-6,7,1,1,2,243
5,2,4,24576,44,2,0,347,3087735,137,2,35494,2347,1,96,2346,4624,54740,6902,107134,314432,21381376,96,4698104544,1,19,3423420,1,391,243,2413320,2,-34,27,883,7,5300,2,2,4,1,213,16,169,1,96,136,3,595,22,4692,5,1156,0,94,208,1,432,8,34,91,300,110,137,4,136,23,55,-150917976,86526,110,478271,1,0,93,3,11,4,5400,30,8,15,11,3,0,7,8,11,1,251
1,1,8,27130,24,2,1,349,3554345,138,3,37762,2416,0,144,2415,4761,57155,7107,111895,328509,22667121,48,1940964480,1,19,3423420,6,393,251,2588772,5,35,74,1019,6,6500,3,3,4,2,214,17,170,2,144,139,13,606,12,4830,14,1190,0,95,211,2,2304,0,34,92,304,111,139,5,138,7,165,105258076,611501,990,10187685,-1,1,94,2,13,2,5760,1,11,15,4,11,35,7,3,3,3,256
4,1,2,29927,70,10,0,353,4087968,140,3,40268,2486,0,72,2485,4900,59640,7315,116795,343000,24010000,72,9791485272,1,20,6126120,4,399,256,2867580,1,-35,1,1021,6,5042,1,1,2,2,215,17,173,1,72,141,1,616,70,4970,9,1225,0,96,217,1,1152,0,35,93,306,113,141,4,140,71,330,-45995730,1379400,7920,66318474,-1,1,95,71,14,1,6144,4686,13,15,11,4,0,7,13,19,1,257
