
Final score (sorted):
model: an_1 + an_2                   ; error: 0              
model: 20211216*an_1*an_2*n + 20211216*an_1*an_2 + 20211216*an_2*n**5 + n**2 + 20211216*n; error: 20211216       
model: 20211216*an_1 + an_5          ; error: 20211216       
model: 20211216*an_1*an_2 + 20211216*an_2*n + an_6 + 20211216*n; error: 20211216       
model: an_1*an_2*an_31 + 20211216*an_29*n; error: 20211216       
model: 20211217*an_1 + 20211216*an_3*n; error: 20211216       
model: 20211216*an_1 + an_2*an_3*n**3 + 20211216*n**2 + 20211216*n; error: 20211216       
model: 20211216*an_1*an_2 + an_1*n**3 + 20211216*an_1 + 20211216*n; error: 20211216       
model: an_31                         ; error: 20211216       
model: 20211216*an_1 + 20211216*n**3 + 20211217*n; error: 20211216       
model: an_1**3*an_2*an_26*n**3       ; error: 20211216       
model: an_26*n                       ; error: 20211216       
model: 20211216*an_1*n + 20211216*an_2*n + n; error: 20211216       
model: an_1*an_21                    ; error: 20211216       
model: 20211216*an_1**2*an_2*n + n**2 + 20211216*n; error: 20211216       
model: an_2*n**3                     ; error: 20211216       
model: 20211216*an_2*n**3 + 20211216*n**3 + 20211217*n; error: 20211216       
model: 20211216*an_1**2 + an_1*an_2**2*n**2 + 20211216*an_1*n + 20211216*an_2 + 20211216*n**3; error: 20211216       
model: 20211216*an_1**2 + 20211216*an_2*n + an_4 + 20211216*n; error: 20211216       
model: 20211216*an_3**2*n + n**2     ; error: 20211216       
model: an_20*n**2                    ; error: 20211216       
model: 20211216*an_2 + 20211217*n    ; error: 20211216       
model: an_1 + 20211216*an_3          ; error: 20211216       
model: 20211216*an_1**2*n + 20211216*an_1 + n; error: 20211216       
model: 20211216*an_1*an_3*an_31*n + 20211217*an_1 + 20211216*n**2; error: 20211216       
model: 20211216*an_1 + an_2*an_30 + 20211216*n; error: 20211216       
model: an_1*an_16*n                  ; error: 20211216       
model: an_1*an_2 + 20211216*an_1     ; error: 20211216       
model: an_1*an_3*n + 20211216*an_2*n ; error: 20211216       
model: an_22                         ; error: 20211216       
model: 20211216*an_1*an_3 + n        ; error: 20211216       
model: an_1**4*n**5                  ; error: 20211216       
model: 20211216*an_1**2*n + 20211216*an_1*an_2*n + an_2 + 20211216*n; error: 20211216       
model: 20211216*an_1**2*n + 20211216*an_2 + n; error: 20211216       
model: 20211216*an_33*n + n          ; error: 20211216       
model: 20211216*an_1*n + 20211216*an_1 + an_3; error: 20211216       
model: 20211216*an_1*an_2*n + an_1*an_2; error: 20211216       
model: an_1**2*an_34*n               ; error: 20211216       
model: an_21                         ; error: 20211216       
model: an_14*an_5*n**2 + 20211216*n**2; error: 20211216       
model: 20211216*an_1**2*an_2 + 20211216*an_1*an_3 + n**2; error: 20211216       
model: an_1**3*an_30                 ; error: 20211216       
model: 20211216*an_2 + an_6*n**2     ; error: 20211216       
model: 20211216*an_1*n**2 + 20211216*an_1 + n; error: 20211216       
model: 20211216*an_1*an_2 + an_1     ; error: 20211216       
model: 20211216*n**3 + n             ; error: 20211216       
model: an_2*n                        ; error: 20211216       
model: 20211217*an_1*n               ; error: 20211216       
model: an_1*an_2*n                   ; error: 20211216       
model: an_1*an_2*an_4*n**2           ; error: 20211216       
model: an_3*n                        ; error: 20211216       
model: an_1*an_3*n + 20211216*an_1*n + 20211216*n; error: 20211216       
model: n**2 + 20211216*n             ; error: 20211216       
model: an_1*n + 20211216*an_1        ; error: 20211216       
model: 20211216*an_1*n + 20211216*an_1 + n; error: 20211216       
model: 20211216*an_1*n + an_1        ; error: 20211216       
model: 20211216*an_1**2*an_2*n**3 + an_1; error: 20211216       
model: an_1*an_2 + 20211216*n**2     ; error: 20211216       
model: an_2*n + 20211216*an_32 + 20211216*n; error: 20211216       
model: 20211216*an_1**2*n + 20211216*an_1*an_21*n**2 + 20211216*an_3 + an_35*n + 20211216*n; error: 20211216       
model: an_1*an_2                     ; error: 20211216       
model: an_1*an_39*n**2               ; error: 20211216       
model: 20211216*an_1 + 20211216*an_22 + n; error: 20211216       
model: 20211216*an_1**2*n**2 + n     ; error: 20211216       
model: an_3*n + 20211216*n           ; error: 20211216       
model: 20211216*an_1*an_2 + 20211216*an_1*n**2 + 20211216*an_8 + n; error: 20211216       
model: an_1*an_18                    ; error: 20211216       
model: an_1*n**2 + 20211216*n**2     ; error: 20211216       
model: 20211216*an_1*n + n**2        ; error: 20211216       
model: an_32                         ; error: 20211216       
model: an_1**2*an_2*n                ; error: 20211216       
model: an_24                         ; error: 20211216       
model: an_1**3*n**4 + 20211216*an_1*n + 20211216*an_1; error: 20211216       
model: 20211216*an_2*n**3 + 20211216*an_3 + n; error: 20211216       
model: an_2*an_4*n                   ; error: 20211216       
model: an_1**2*an_2*n**2             ; error: 20211216       
model: 20211216*an_1**4*n**2 + an_1 + 20211216*n; error: 20211216       
model: an_1*n + 20211216*an_1 + 20211216*n; error: 20211216       
model: an_1**2 + 20211216*an_1*n + 20211216*n**2; error: 20211216       
model: 20211216*an_1*n + 20211216*an_2 + 20211217*n; error: 20211216       
model: 20211216*an_1 + 20211216*an_3*n + 20211217*n; error: 20211216       
